day_index,theme,subcategory,count
18.0,Ads related issues,Ads gating / too many ads,4
18.0,Coins related issues,Too expensive / high coin cost,8
18.0,Coins related issues,Too slow unlock / few free episodes,2
18.0,Coins related issues,Subscription needed / request,1
18.0,Content discovery issues,Search/discoverability issues,2
18.0,Content discovery issues,Poor recommendations/irrelevant suggestions,1
18.0,Content quality & format,AI voices / quality,5
18.0,Content quality & format,Visual vs audio expectation,1
18.0,Listening related issues,Offline / download issues,3
18.0,Listening related issues,Crashes / app not working,2
18.0,Other,Other,9
18.0,Payments & Support,Billing / refund / trial issues,1
18.0,Payments & Support,Unauthorized charge / auto pay,1
19.0,Ads related issues,Ads gating / too many ads,6
19.0,Ads related issues,Misleading ads / bait-and-switch,1
19.0,Coins related issues,Too expensive / high coin cost,17
19.0,Coins related issues,Subscription needed / request,2
19.0,Coins related issues,Too slow unlock / few free episodes,2
19.0,Content discovery issues,Search/discoverability issues,1
19.0,Content quality & format,AI voices / quality,11
19.0,Content quality & format,Visual vs audio expectation,1
19.0,Listening related issues,Crashes / app not working,4
19.0,Listening related issues,Offline / download issues,4
19.0,Listening related issues,Buffering / won't load,1
19.0,Listening related issues,Listening related issues,1
19.0,Other,Other,21
19.0,Payments & Support,Support unresponsive,3
20.0,Ads related issues,Ads gating / too many ads,2
20.0,Ads related issues,Misleading ads / bait-and-switch,2
20.0,Coins related issues,Too expensive / high coin cost,9
20.0,Coins related issues,Too slow unlock / few free episodes,4
20.0,Content discovery issues,Search/discoverability issues,1
20.0,Content quality & format,AI voices / quality,7
20.0,Content quality & format,Visual vs audio expectation,2
20.0,Listening related issues,Crashes / app not working,1
20.0,Listening related issues,Offline / download issues,1
20.0,Other,Other,12
20.0,Payments & Support,Payments & Support,1
20.0,Payments & Support,Support unresponsive,1
21.0,Ads related issues,Ads gating / too many ads,12
21.0,Ads related issues,Misleading ads / bait-and-switch,3
21.0,Coins related issues,Too expensive / high coin cost,24
21.0,Coins related issues,Subscription needed / request,7
21.0,Coins related issues,Too slow unlock / few free episodes,6
21.0,Content discovery issues,Search/discoverability issues,4
21.0,Content discovery issues,Poor recommendations/irrelevant suggestions,1
21.0,Content quality & format,AI voices / quality,21
21.0,Content quality & format,Visual vs audio expectation,3
21.0,Listening related issues,Crashes / app not working,6
21.0,Listening related issues,Offline / download issues,6
21.0,Listening related issues,Listening related issues,2
21.0,Listening related issues,Buffering / won't load,1
21.0,Listening related issues,Notifications / interruptions,1
21.0,Listening related issues,Playback jumps / episode switching,1
21.0,Other,Other,27
21.0,Payments & Support,Payments & Support,2
21.0,Payments & Support,Billing / refund / trial issues,1
21.0,Payments & Support,Support unresponsive,1
22.0,Ads related issues,Ads gating / too many ads,3
22.0,Ads related issues,Ads related issues,1
22.0,Coins related issues,Too expensive / high coin cost,5
22.0,Coins related issues,Too slow unlock / few free episodes,4
22.0,Coins related issues,Subscription needed / request,2
22.0,Content discovery issues,Poor recommendations/irrelevant suggestions,1
22.0,Content discovery issues,Search/discoverability issues,1
22.0,Content quality & format,AI voices / quality,6
22.0,Content quality & format,Visual vs audio expectation,1
22.0,Listening related issues,Crashes / app not working,3
22.0,Listening related issues,Offline / download issues,2
22.0,Localization & Availability,Missing languages / dubbing,1
22.0,Other,Other,17
23.0,Ads related issues,Ads gating / too many ads,9
23.0,Ads related issues,Misleading ads / bait-and-switch,2
23.0,Coins related issues,Too expensive / high coin cost,14
23.0,Coins related issues,Subscription needed / request,7
23.0,Coins related issues,Too slow unlock / few free episodes,3
23.0,Content discovery issues,Search/discoverability issues,3
23.0,Content discovery issues,Poor recommendations/irrelevant suggestions,1
23.0,Content quality & format,AI voices / quality,13
23.0,Content quality & format,Visual vs audio expectation,2
23.0,Listening related issues,Offline / download issues,2
23.0,Listening related issues,Crashes / app not working,1
23.0,Other,Other,15
23.0,Payments & Support,Billing / refund / trial issues,3
23.0,Payments & Support,Payments & Support,2
23.0,Payments & Support,Support unresponsive,2
23.0,Payments & Support,Unauthorized charge / auto pay,1
24.0,Ads related issues,Ads gating / too many ads,4
24.0,Coins related issues,Subscription needed / request,5
24.0,Coins related issues,Too expensive / high coin cost,5
24.0,Content discovery issues,Search/discoverability issues,1
24.0,Content quality & format,AI voices / quality,7
24.0,Listening related issues,Crashes / app not working,2
24.0,Listening related issues,Listening related issues,1
24.0,Other,Other,12
24.0,Payments & Support,Billing / refund / trial issues,2
24.0,Payments & Support,Support unresponsive,1
24.0,Payments & Support,Unauthorized charge / auto pay,1
25.0,Ads related issues,Ads gating / too many ads,4
25.0,Ads related issues,Misleading ads / bait-and-switch,2
25.0,Coins related issues,Too expensive / high coin cost,7
25.0,Coins related issues,Subscription needed / request,1
25.0,Content quality & format,AI voices / quality,5
25.0,Content quality & format,Visual vs audio expectation,1
25.0,Listening related issues,Offline / download issues,1
25.0,Other,Other,11
25.0,Payments & Support,Billing / refund / trial issues,2
25.0,Payments & Support,Payments & Support,1
26.0,Ads related issues,Ads gating / too many ads,1
26.0,Ads related issues,Misleading ads / bait-and-switch,1
26.0,Coins related issues,Too expensive / high coin cost,6
26.0,Coins related issues,Subscription needed / request,2
26.0,Coins related issues,Too slow unlock / few free episodes,1
26.0,Content discovery issues,Poor recommendations/irrelevant suggestions,1
26.0,Content discovery issues,Search/discoverability issues,1
26.0,Content quality & format,AI voices / quality,5
26.0,Content quality & format,Visual vs audio expectation,2
26.0,Listening related issues,Crashes / app not working,5
26.0,Other,Other,10
27.0,Ads related issues,Ads gating / too many ads,8
27.0,Ads related issues,Misleading ads / bait-and-switch,1
27.0,Coins related issues,Too expensive / high coin cost,7
27.0,Coins related issues,Subscription needed / request,6
27.0,Coins related issues,Too slow unlock / few free episodes,1
27.0,Content discovery issues,Search/discoverability issues,1
27.0,Content quality & format,AI voices / quality,14
27.0,Content quality & format,Visual vs audio expectation,2
27.0,Listening related issues,Crashes / app not working,7
27.0,Listening related issues,Buffering / won't load,2
27.0,Listening related issues,Offline / download issues,2
27.0,Listening related issues,Playback jumps / episode switching,1
27.0,Localization & Availability,Missing languages / dubbing,2
27.0,Other,Other,27
27.0,Payments & Support,Billing / refund / trial issues,1
27.0,Payments & Support,Support unresponsive,1
27.0,Payments & Support,Unauthorized charge / auto pay,1
28.0,Ads related issues,Ads gating / too many ads,3
28.0,Coins related issues,Too expensive / high coin cost,6
28.0,Coins related issues,Subscription needed / request,1
28.0,Coins related issues,Too slow unlock / few free episodes,1
28.0,Content discovery issues,Poor recommendations/irrelevant suggestions,1
28.0,Content quality & format,AI voices / quality,4
28.0,Content quality & format,Visual vs audio expectation,2
28.0,Listening related issues,Crashes / app not working,2
28.0,Listening related issues,Notifications / interruptions,1
28.0,Listening related issues,Offline / download issues,1
28.0,Other,Other,8
28.0,Payments & Support,Billing / refund / trial issues,2
