day_index,week_bucket,week_label,line_index,reviewer,rating,sentiment,language,categories,subcategories,review_text
4,1,Week 1,1211,Atanu Sarkar,2,Negative,English,Playback & Performance,Buffering / won't load;Crashes / app not working,The stories present are not bad but the application itself is not working properly. Too much buffering problem in the application. Try to optimise the performance of the application.
4,1,Week 1,1277,OKONKWO CHIKOSOLU,1,Negative,English,Monetization & Pricing;Playback & Performance;Content & UX,Ads gating / too many ads;Offline / download issues;Notifications / interruptions,"""Each update makes it worse. can't even download as much as I want anymore, only 2 ads per day? why And why can't I pause or play it from my notification bar anymore. lots of changes that make my experience worse"""
4,1,Week 1,1359,p k,1,Negative,Spanish,Playback & Performance,Buffering / won't load,very bad to open.... take 15minute or more to open app.... only buffering....
5,1,Week 1,1429,Steven Conner,2,Negative,English,Playback & Performance;Content & UX,Offline / download issues;AI voices / quality;Too slow unlock / few free episodes,I don't usually give bad reI will definitely delete this app as soon as I am done with this series much as I like the series I utterly hate the fact it constantly starts other series without your permission I can even get past the starting u with free episodes then snowballing you with steeper n steeper fees the always starting another series mostly one I hate n have deleted hundreds of times it starts it as if to mock me I will never even download from this developer again I hate it that much
5,1,Week 1,1457,ric -s,1,Negative,English,Monetization & Pricing,Ads gating / too many ads,"""Idiot trap: lures you in with a seemingly interesting film, but as soon as you install the app, the film turns into bad freeze frames, and later even those are replaced with ads. It advertises itself as a free offer, but only delivers a few free sequences, which get shorter and shorter over time, while the story is dragged out by pointless repetition."""
5,1,Week 1,1511,SureshReddy GSR,1,Negative,Spanish,Playback & Performance,Crashes / app not working,yodha series not unlock the all episodes only 942 episodes unlock why not unlocked all series and customer service not working
5,1,Week 1,1531,Justin Burtle,1,Negative,English,Monetization & Pricing;Playback & Performance,Too expensive / high coin cost;Ads gating / too many ads;Offline / download issues,"""I am changing my review because I just had to get a new phone when I downloaded this app now you can only watch 10 ads a day? seriously? your prices for coins are insane compared to the cost of the episodes. Honestly, I will give it a try but I normally listen to this app for 5 and a half hours a day. If I can't fill that with the story I care to listen to I'll probably be deleting this app. It may be sad but I watch over 100 adds a day to use this app."""
5,1,Week 1,1592,absurd echt,1,Negative,English,Monetization & Pricing;Playback & Performance;Content & UX,Ads gating / too many ads;Playback jumps / episode switching;AI voices / quality,Your YouTube ads aren't great. They display endless AI-generated narration that runs until you press the skip button. I wish you bankruptcy and all the worst. Sincerely.
5,1,Week 1,1632,Srushti,1,Negative,English,Playback & Performance;Content & UX,Offline / download issues;AI voices / quality,"""please don't download the this app,few months ago I use to love this application and I gave 5 stars but now I'm hating it because they are using AI voices for all new stories. Trust me new story plots are goted but because of voice I can't keep up with it so only one star"""
5,1,Week 1,1702,Logic 0010,1,Negative,German,Playback & Performance;Content & UX,Crashes / app not working;AI voices / quality,update with adds has ruined the app constantly crashes will not play in background freezes constantly I'm done I wish I did not recommend this app to others now. congrats you chased away a daily user of years now.
5,1,Week 1,1708,Jan Steudler,2,Negative,English,Monetization & Pricing;Content & UX,Too expensive / high coin cost;Subscription needed / request;AI voices / quality,"""It's a real rip-off...! While the stories are exciting, the coins are very expensive because there's no option to subscribe. Frequent malfunctions mean that when you resume an episode, you immediately jump to the next one, which you can then unlock with coins. A pretty cheeky trait!"""
8,2,Week 2,1831,Suresh Babu,1,Negative,English,Monetization & Pricing;Playback & Performance,Subscription needed / request;Unauthorized charge / auto pay;Crashes / app not working,"""Why the Auto payment option only for premium subscriptions. If we need it we will make payment and listen. If we don't like it next month we will not take it premium. That is customers option. Last before month I took a premium and last month I'm busy so I cancelled Auto payment. now I'm trying to take premium payment not working correctly. i tried different payment method,But its not work. Please do to changes ASAP. 1. Add manual monthly option. 2. Fix the above payment problem in your App"""
8,2,Week 2,1853,Shaun B,1,Negative,English,Monetization & Pricing;Playback & Performance,Ads gating / too many ads;Misleading ads / bait-and-switch;Offline / download issues,"""After completing listening to My Vampire System, I was shocked to see new promos advertising it. The new promos show a story so far removed from how it actually is written. One that really sticks out is the introduction of Ironman. Whoever decided that this was a sure-fire way to make this story attractive to potential downloads is nothing more than false advertising at best and a total lie at worst."""
8,2,Week 2,1883,Braden Kroeker,1,Negative,English,Playback & Performance;Content & UX,Crashes / app not working;Too slow unlock / few free episodes,I really love this app. if they fix the bug where it takes away you're free episodes then I will change my review to a 5 star
8,2,Week 2,1891,Anjaneyulu E,2,Negative,English,Playback & Performance,Crashes / app not working,lots. of bugs
8,2,Week 2,1897,Cristal Townsend,2,Negative,English,Content & UX,AI voices / quality,"""I enjoy listening to the books and utilizing the app. However, here lately, it will not open properly and my phone says Pocket FM is not responding and asks me if I want to wait. I am utilizing an older phone Galaxy S5, if that is the problem, please let me know. Thank you."""
8,2,Week 2,1987,subhendu bodhuk,1,Negative,English,Playback & Performance,Crashes / app not working,deu to technical issue app not working properly
8,2,Week 2,2025,Roisin Day,1,Negative,English,Monetization & Pricing;Playback & Performance;Content & UX,Too expensive / high coin cost;Ads gating / too many ads;Crashes / app not working;AI voices / quality,Watching ads for free coins doesn't work. Stories misrepresented costs too much to listen to a full story or you have to wait a long time.
8,2,Week 2,2115,Maria Blamaki,1,Negative,English,Monetization & Pricing;Playback & Performance;Content & UX,Subscription needed / request;Crashes / app not working;Visual vs audio expectation,"""When opened, it stops; when read, it stops. It runs as a film up to about 10 episodes. Then there are pictures with signatures. That's really not possible. You can't read or see something like that; it's rubbish."""
8,2,Week 2,2147,BHARATHI DEVI CVS,1,Negative,English,Playback & Performance,Offline / download issues,app is not downloading fix this problem
8,2,Week 2,2153,kyle unwin,1,Negative,English,Monetization & Pricing;Playback & Performance;Content & UX,Too expensive / high coin cost;Subscription needed / request;Offline / download issues;AI voices / quality;Too slow unlock / few free episodes,it messes you about starts off with 10 free episodes every 24hours. then 4 episodes every 48 hours. the offerwall offers you to download games to earn free coins however they never pay out and pocketful runs it as a seperate site. you recieve a generic email before finally being told you didn't download from them when you did. waste of time and money.
9,2,Week 2,2241,Matthew Adams,1,Negative,English,Playback & Performance,Buffering / won't load,will change from 1 to 5 stars if you fix it. for 2 weeks it won't load any books up when I click on something. shows a circle loading and that's it.
9,2,Week 2,2271,Lokesh Ganesh,1,Negative,English,Monetization & Pricing;Playback & Performance,Ads gating / too many ads;Crashes / app not working,llots off bugs and marketing activities in the app instead of stories llots ads
9,2,Week 2,2297,Afsal Muhammed,2,Negative,English,,,story's was good but app is too hang and very lag
9,2,Week 2,2373,Business Kikstart,1,Negative,German,Playback & Performance,Crashes / app not working,i love the story but app is crashed frequently hence i uninstall this application sorry
10,2,Week 2,2446,Tamela J,1,Negative,English,Monetization & Pricing;Playback & Performance;Content & UX,Too expensive / high coin cost;Offline / download issues;AI voices / quality,"""The listening app was great in the beginning. Episodes stop playing every 3 to 5 mins during listening- to frequent to enjoy. They offer free coins after completing long surveys they can't deliver! After reaching out & complaining; all they've done is check back after several days or longer asking,'has the issue(s) been resolved?'. Clearly, it hasn't. They've now asked me 3 or 4 times. It's 2 months later & I'm still being asked the same thing. DON'T WASTE YOUR TIME downloading this app."""
10,2,Week 2,2468,Lynn Fletcher,1,Negative,English,Playback & Performance,Offline / download issues,"""I downloaded the app after watching a partial story that left me wanting to hear how it ended. As I was setting up my initial account, I was, of course, prompted to accept their terms and conditions to continue. This is common practice now, as they have to legally disclose how and what the app will be accessing, either on your phone, computer, or other electronic devise. However, this app goes too far. They can access and listen to your phone calls/texts, business info, etc. NO!!! DELETE!"""
10,2,Week 2,2480,Alan Johnson,2,Negative,English,Monetization & Pricing;Content & UX,Too expensive / high coin cost;Ads gating / too many ads;AI voices / quality,the adverts you see do not match the story esp with my vampire system the story is great and had me hooked until the 1000 year time jump that spoiled the story but i was invested so battled on then the dodgy animations and naration stopped around episode 1600 and its a money grab you have to watch loads of ads to unlock episodes or wait a day or 2 for some to unlock or keep paying for coins which vanish very quick i was a daily listener but refuse to pay now as the story has gone off
10,2,Week 2,2556,Busrasaikh,1,Negative,English,Playback & Performance,Crashes / app not working,this app is not working properly
10,2,Week 2,2682,Stephanie Bradford,1,Negative,English,Playback & Performance,Offline / download issues,Don't download. The stories are messed up and the app is glitchy. super disappointed.
11,2,Week 2,2772,Anita Suleiman,2,Negative,English,Monetization & Pricing;Playback & Performance,Subscription needed / request;Offline / download issues,"""Right now, my audio is playing, but with no sound, is it from my side or your side, please? Kindly help. Because I love listening to Saving Nora. Now I can't listen to my downloaded stories if I am not online. Do something about it"""
11,2,Week 2,2912,Jerry Adsitt,1,Negative,German,Monetization & Pricing;Playback & Performance;Content & UX,Too expensive / high coin cost;Ads gating / too many ads;Offline / download issues;AI voices / quality,"""Paid $40 for most """"coins"""" offered and still couldn't finish 1 story. Downloads are a joke. They only let you download a few episodes at a time. Episodes are tiny and you pay for each one with your coins so they go fast. The playback isn't smooth as there are long gaps between """"episodes"""". I saw some stories that are like 2000 episodes long. Can't imagine how much that would cost to hear 1 story! Definitely not worth the money!"""
11,2,Week 2,2928,Dead Eye,2,Negative,English,Playback & Performance;Content & UX,Crashes / app not working;AI voices / quality,bahut loading leta hai ab to page hi open nahi hota new update ki jarurat hai bahut bug hai
12,2,Week 2,2996,M P,1,Negative,English,Monetization & Pricing;Playback & Performance,Too expensive / high coin cost;Ads gating / too many ads;Offline / download issues,"""Don't waste your time downloading this app. Pocket FM is predatory. Fake “free / no-ad” reviews lure you in, then they slash episodes from 7+ to 3/day. Ads or coins don’t add content, they steal your future freebies. It’s a trap designed to hook you, then bleed you for less than you once got for free. This isn’t monetization, it’s exploitation. They see listeners as targets, not customers. Avoid this scam, find any other website or app to give your time and/or money to instead."""
12,2,Week 2,3020,Khushi Yadav,1,Negative,English,Playback & Performance,Offline / download issues,download were not playing properly
12,2,Week 2,3026,Mindy Crane,1,Negative,English,Playback & Performance;Content & UX,Crashes / app not working;AI voices / quality,"""I was using it and had a account, until my phone got destroyed. But I wasn't able to get to the place I was in the books. After listening to it for months and paying to hear it.. kept replaying sections already listened to. The free section was always what played already. After my phone crashed I loaded back to my new phone and it started all over again. Was in chapter 438, I will not be giving another cent for this. If was able I would give a huge fat zero because they constantly interrupt."""
12,2,Week 2,3086,Sandeep Kumar Haldkar,1,Negative,English,Playback & Performance,Crashes / app not working,something audio is not clear even internet connection is good. and also not working properly in background
12,2,Week 2,3153,Favourite Igwe,1,Negative,English,Playback & Performance;Content & UX,Offline / download issues;AI voices / quality,please why do the app keep quitting each time I tried opening it this issue started today 16th August 2025 I tried deleting and downloading it again but it kept happening that way please make sure you fix this issue as quick as possible and tell me when you have fixed it
12,2,Week 2,3167,Christopher Colon,1,Negative,English,Monetization & Pricing,Ads gating / too many ads,the inclusion of ads make it less enjoyable but tolerable but I've been stiluck with a never ending ad glitch where the ads are not playing but keeps adding more ads and not playing the story
12,2,Week 2,3197,GARIMA CHAUBEY,1,Negative,English,Playback & Performance,Crashes / app not working,Not working properly even when I'm online. I can't open my audio books. I'm mostly spending my spare time on this platform but it doesn't work. I'm really disappointed with the function of this app
12,2,Week 2,3227,Randall Bowles,1,Negative,English,,,I have only listened to one audio book and it is great. However the app sucks. It hangs up all the time. Once I finish this audio book. I will look elsewhere for others
13,2,Week 2,3277,devi gopal,1,Negative,English,Playback & Performance,Buffering / won't load,"""not loading, long buffering"""
13,2,Week 2,3313,Brian Malundi,1,Negative,English,Playback & Performance,Offline / download issues,"""I hate to say this I started to dislike this app because since I updated it I can't download series that I want ,it load and load fix this immediately"""
13,2,Week 2,3329,Tenesha Hudson,1,Negative,English,Monetization & Pricing;Playback & Performance;Payments & Support,Too expensive / high coin cost;Offline / download issues;Support unresponsive,I have downloaded several games and completed the tasks from the Offer Wall in order to win pocket coins. I haven't received my pocket coins on several occasions. Customer Support has been useless in helping with the issue to ensure I receive my rewards. What they advertise on the Offer Wall is a joke. Be prepared to fight with them to get what's advertised most of the time. Don't bother with this app. Cost too many coins for 6 to 10 min segments.
13,2,Week 2,3375,T Tildon,2,Negative,English,Playback & Performance;Content & UX,Crashes / app not working;AI voices / quality,"""BETA Stories and most narrators are good. Some are too young to have the vocabulary to pronounce words properly. You are able to select stories for a library. However, the app will DISREGARD your choices and select other stories. When you remove a story, the app will continuously put it back in the listening list despite your choice. Always take a screenshot of the story as you go. App will randomly reset your progress to episode 1. Quite annoying bug."""
13,2,Week 2,3384,Gopi Nath,1,Negative,English,Monetization & Pricing;Playback & Performance,Too expensive / high coin cost;Offline / download issues,"""don't download this app, because very expensive each story"""
13,2,Week 2,3404,Christoph Wirths,1,Negative,English,Monetization & Pricing;Content & UX,Too expensive / high coin cost;Ads gating / too many ads;AI voices / quality;Too slow unlock / few free episodes,"""Actually, it's a cool app for audio series. I started listening to """"The Vampire System."""" Five new episodes daily, and if you want more, you can just listen to ads or unlock additional episodes with coins (i.e., invest money). However, it only gets one star because, starting with episode 160 of 700, only one episode is free daily. I can understand that the company wants to make money and is reducing the number of free episodes. But jumping from five to just one is outrageous."""
13,2,Week 2,3438,Sou Bhl,1,Negative,English,Monetization & Pricing;Playback & Performance;Content & UX,Subscription needed / request;Crashes / app not working;Too slow unlock / few free episodes,the fact that audiobooks stop being free midway is diabolical... at first we get a few free episodes per day which is perfectly fine but then eventually that stops and we have to pay to continue the rest of the story?! why??
15,3,Week 3,3557,Vishwam Jadhav,1,Negative,English,Playback & Performance,Crashes / app not working,last version of this app is very disappointing UI is not working properly try to fix it
15,3,Week 3,3720,Levi Olszewski,1,Negative,English,Monetization & Pricing;Playback & Performance,Too expensive / high coin cost;Offline / download issues,"""you get us locked in to a story, then make it so you can't watch but 2 or 3, 5 min episodes a day or pay a ridiculous amount of money to barely get a few more episodes. to top it off every time i do a task to earn coins, it scams me out of the coins,so now I have 20 dif downloaded apps and still no coins. its also the same with the surveys robbed out of my coins eveverytime. yo take a bunch of my personal info to sell to whoever. at least let me finish watching my vampire system if you are"""
15,3,Week 3,3726,Azarudeen S,1,Negative,English,Monetization & Pricing;Playback & Performance;Content & UX,Too expensive / high coin cost;Crashes / app not working;AI voices / quality,daily unlocked episode not working. king story past one week show 48hrs to unlock. story not unlocked. I spent coin to unlock. l lose coin. story not unlock.
16,3,Week 3,3752,samiksha rokde,1,Negative,English,Playback & Performance,Playback jumps / episode switching,"""I used to like this app and the stories too, that's why I purchased premium. many interesting stories i added them into the library so that i can play later on. But when i checked all the stories in the library,I couldn't find them.When I tried to search for them,I didn't find any of the stories like they were never even existed and it's happened 3 4 time with me n keeping show same storys that i don't even like it bit .That's very disappointing. I'm switching to partilip now, far better"""
16,3,Week 3,3766,Coach Randall,1,Negative,English,Monetization & Pricing;Playback & Performance;Content & UX,Too expensive / high coin cost;Offline / download issues;Notifications / interruptions,"""Love it. Perfect for areas with bad radio signals, but the rewards to earn free coins by downloading games and accomplishing the parameters to get free coins is terrible. I get the run around when submitting notifications for completing the task but not receiving the coins. A common response is that their partner hasn't verified with them that I have met those parameters, so the coins haven't been released. The whole we aren't the problem it's someone else."""
16,3,Week 3,3837,Doris Fanning,1,Negative,English,Monetization & Pricing;Playback & Performance,Too expensive / high coin cost;Buffering / won't load,As of lately you can not get the app to load. i have spent alot of money on reading your books. It is beyond aggravating not to get the app to open. There is a red circle spinning on the page. what is wrong? PS Yes I updated the app itself. The coins go way to fast as well. the chapters are to short!
16,3,Week 3,3863,Jps Singh,1,Negative,Spanish,,,its is worst interface not opening hang all time
16,3,Week 3,3916,V.venkateswara reddy Vangala venkateswara reddy,1,Negative,German,Playback & Performance,Crashes / app not working,I deleted this apps some issues and installed but my account was not working properly and given new account so I listed first thing this app are issues cleared the issue .
16,3,Week 3,3953,Huan Chris,1,Negative,English,Monetization & Pricing;Playback & Performance,Too expensive / high coin cost;Crashes / app not working,"""I actually really like it, but I'm fed up with these exorbitant prices. I've spent over €40 so far and have reached 212 out of 2,200. After the second purchase, the coins got more expensive. Seriously, hundreds of euros for ONE audiobook? That's completely out of proportion. It's a real shame! Earning coins doesn't work either; they were only credited initially. I sent screenshots and asked for the coins, but they were rejected and blocked. Thanks, thanks."""
17,3,Week 3,4174,Prakash Pramanik,1,Negative,English,Monetization & Pricing;Playback & Performance;Content & UX,Ads gating / too many ads;Misleading ads / bait-and-switch;Offline / download issues;AI voices / quality,"""I am very disappointed. I have been using this app since long, when I did not have many downloads. Earlier, I could read novels in it, but now all of them are audio stories. You can understand from this that how old a download I have of this app. Earlier, I could read all the chapters of the novels in it, none of them were locked, after that some chapters could be read for free, it used to open daily for free. I have read 20-25 novels of this, which I liked very much, but today I have novels and audio stories."""
17,3,Week 3,4237,Kushal Prince,1,Negative,English,Playback & Performance,Crashes / app not working,the app is not working it take too long time to opean
17,3,Week 3,4253,Zabam 93 (Zabam),2,Negative,English,Monetization & Pricing;Playback & Performance,Too expensive / high coin cost;Ads gating / too many ads;Offline / download issues,"""While the stories are okay the app experience is awful. Some ads have very tiny icons that make it hard to mute or """"x"""" out. Some apps cant be ended or muted and you have to restart the app. Ive even had some newsbreak ad force download its app when I was trying to close the ad. Even past that the servers can be so slow that after you watch an ad it doesnt recognize it or count it because it broke its own loop of playing ads. It even dissapeared my 25 coin bonus the other day for no reason."""
17,3,Week 3,4285,Nilam Sinha,2,Negative,English,,,"""this app story is so beutiful but this app is lagging and freez up not play the next episod , so i request the pocket fm team close the app"""
17,3,Week 3,4305,A K,1,Negative,German,Playback & Performance;Payments & Support,Offline / download issues;Support unresponsive,"""I had download that app unknowingly, but I found that there is not any full story for free.Useless App don't install that"""
18,3,Week 3,4363,Asenlalongs Asen,1,Negative,English,Playback & Performance;Content & UX,Offline / download issues;Visual vs audio expectation,fraud app it has only audio no video. but in the ad they show videos to scam us. no need to download this app simply waste of time and money and the episodes and series are never ending. just wanted our money and nothing else please don't download this app. fraud and 3rd class app. I'm out.
18,3,Week 3,4369,Sameer Dhritlahare,1,Negative,English,Playback & Performance,Crashes / app not working;Offline / download issues,It is not working properly in offline mode and online mode also so I hurts fix it fast
18,3,Week 3,4377,Justin Ring,2,Negative,English,Monetization & Pricing;Playback & Performance,Ads gating / too many ads;Crashes / app not working,"""HELP. Crashes constantly It's been getting worse. I follow the steps for what to do but it doesn't change anything. The app still lags and crashes constantly, please fix so I can put this app back at 5 stars. Seems like there is no customer service or bug report options. Also the ads have become more intrusive and stops my story in the middle of and episode it's getting really annoying especially when I have purchased the episode already, that shouldn't be so. Crashes every 10 minutes today"""
18,3,Week 3,4450,Barento A D,1,Negative,English,Monetization & Pricing;Playback & Performance,Subscription needed / request;Offline / download issues,if you want to spend hundreds of dollars go ahead and download otherwise stay away from this apps. they think money grows up on tree. to listen to 10 minutes episode you have to spend minimum $5. if they have monthly subscription maybe it's good otherwise I'll not recommend to anyone who works hard to earn money and spend in one day this more than what you spend in gambling in casino.
